Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
NNTP,QWen3,4,10,0,0.0,0.0,0.0
NNTP,Gemma3,9,10,3,0.333,0.3,0.316
NNTP,Mistral,3,10,0,0.0,0.0,0.0
SMTP,DS-R1,10,7,2,0.2,0.286,0.235
SMTP,Gpt4o-Mini,41,7,4,0.098,0.571,0.167
SMTP,Claude3,10,7,2,0.2,0.286,0.235
SMTP,Gemini2,10,7,4,0.4,0.571,0.47
SMTP,DS-V3,10,7,3,0.3,0.429,0.353
SMTP,QWQ,7,7,1,0.143,0.143,0.143
SMTP,QWen3,8,7,2,0.25,0.286,0.267
SMTP,Gemma3,7,7,0,0.0,0.0,0.0
SMTP,Mistral,38,7,3,0.079,0.429,0.133
TCP,DS-R1,11,11,10,0.909,0.909,0.909
TCP,Gpt4o-Mini,11,11,10,0.909,0.909,0.909
TCP,Claude3,11,11,10,0.909,0.909,0.909
TCP,Gemini2,11,11,9,0.818,0.818,0.818
TCP,DS-V3,11,11,10,0.909,0.909,0.909
TCP,QWQ,9,11,9,1.0,0.818,0.9
TCP,QWen3,9,11,9,1.0,0.818,0.9
TCP,Gemma3,9,11,6,0.667,0.545,0.6
TCP,Mistral,11,11,9,0.818,0.818,0.818
